Guid	ID	Name	LocalizedName	#	Shortcut
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	2	Microsoft SQL Server Data Tools, テーブル デザイナー::F12
{3062F745-4EA9-4C48-AC62-802D23542690}	11	Tools.ScriptObjectasALTER	ツール.ScriptObjectasALTER	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::F12
{3062F745-4EA9-4C48-AC62-802D23542690}	9	EditorContextMenus.CodeWindow.RenameAliasVariable	エディターコンテキストメニュー.コードウィンドウ.RenameAliasVariable	1	Microsoft SQL Server Data Tools, T-SQL Editor::Shift+F2
{3062F745-4EA9-4C48-AC62-802D23542690}	9	EditorContextMenus.CodeWindow.RenameAliasVariable	エディターコンテキストメニュー.コードウィンドウ.RenameAliasVariable	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Shift+F2
{3062F745-4EA9-4C48-AC62-802D23542690}	9	EditorContextMenus.CodeWindow.RenameAliasVariable	エディターコンテキストメニュー.コードウィンドウ.RenameAliasVariable	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Shift+F2
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	37	EditorContextMenus.CodeWindow.InlineEXEC	エディターコンテキストメニュー.コードウィンドウ.InlineEXEC	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+I
{3062F745-4EA9-4C48-AC62-802D23542690}	6	EditorContextMenus.CodeWindow.ExecuteCurrentStatement	エディターコンテキストメニュー.コードウィンドウ.ExecuteCurrentStatement	1	Microsoft SQL Server Data Tools, T-SQL Editor::Shift+F5
{3062F745-4EA9-4C48-AC62-802D23542690}	6	EditorContextMenus.CodeWindow.ExecuteCurrentStatement	エディターコンテキストメニュー.コードウィンドウ.ExecuteCurrentStatement	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Shift+F5
{3062F745-4EA9-4C48-AC62-802D23542690}	6	EditorContextMenus.CodeWindow.ExecuteCurrentStatement	エディターコンテキストメニュー.コードウィンドウ.ExecuteCurrentStatement	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Shift+F5
{3062F745-4EA9-4C48-AC62-802D23542690}	7	EditorContextMenus.CodeWindow.ExecuteCurrentBatch	エディターコンテキストメニュー.コードウィンドウ.ExecuteCurrentBatch	1	Microsoft SQL Server Data Tools, T-SQL Editor::Shift+Alt+F5
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	45	EditorContextMenus.CodeWindow.RefactorINSERTIntoUPDATE	エディターコンテキストメニュー.コードウィンドウ.RefactorINSERTIntoUPDATE	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	45	EditorContextMenus.CodeWindow.RefactorINSERTIntoUPDATE	エディターコンテキストメニュー.コードウィンドウ.RefactorINSERTIntoUPDATE	2	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+D
